figure_id,chapter,current_title,priority,is_empirical,in_excel,completeness,gap_count,missing_fields,has_fields,book_location,extraction_notes
Fig5.3,5,"US and UK Wholesale Price Indexes, 1790-1940",1,Yes,Yes,18%,9,"data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, key_features",Chapter 5,
Fig5.4,5,"US and UK Wholesale Price Indexes, 1790-2010",1,Yes,Yes,18%,9,"data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, key_features",Chapter 5,
Fig5.5,5,"UK Wholesale Price Indexes in Gold Ounces and Pound Sterling Price of Gold, 1790",1,Yes,Yes,18%,9,"data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, key_features",Chapter 5,
Fig5.6,5,"US Wholesale Price Indexes in Gold Ounces and US Dollar Price of Gold, 1800-2009",1,Yes,Yes,18%,9,"data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, key_features",Chapter 5,
Fig7.11,7,"Change in Selling Price versus Change in Unit Labor Cost, US 1923-1950",1,Yes,No,27%,8,"x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, data_source, description",Chapter 7,
Fig7.12,7,"Change in Selling Price versus Change in Unit Labor Cost, UK 1954-1963",1,Yes,No,27%,8,"x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, data_source, description",Chapter 7,
Fig7.13,7,"World Manufacturing Average and Incremental Rates of Profit, 1970-1989",1,Yes,No,27%,8,"x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, data_source, description",Chapter 7,
Fig7.14,7,"US Manufacturing Average and Incremental Rates of Profit, 1960-1989",1,Yes,No,27%,8,"x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, data_source, description",Chapter 7,
Fig7.15,7,"Average Rates of Profit in US Industries, 1987-2005",1,Yes,No,36%,7,"x_axis, y_axis, observations, context_from_text, key_features, section, page","year_range, data_source, description, bea_table_ref",Chapter 7,
Fig7.17,7,"Incremental Rates of Profit in US Industries, 1987-2005",1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 7,
Fig7.19,7,"Deviations of Greek Manufacturing Profit Rates from Average Profit Rate, 1962-19",1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 7,
Fig7.20,7,Deviations of Greek Manufacturing Incremental Profit Rates from Average Incremen,1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 7,
Fig9.19,9,"Actual Wage–Profit Curves, 1947–1972",1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 9,
Fig10.1,10,"Incremental Rates of Profit, Banks versus All Private Industries, 1988-2005",1,Yes,No,27%,8,"data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, description, key_features",Chapter 10,
Fig10.10,10,"Bond and Equity Rates of Return, 1926-2010",1,Yes,Yes,27%,8,"data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, description, key_features",Chapter 10,
Fig10.11,10,Equity Current Rate of Return versus Adjusted and NIPA Corporate Current Increme,1,Yes,Yes,27%,8,"data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, description, key_features",Chapter 10,
Fig10.13,10,"Actual Real Stock Price versus EMH Rational Price and Classical Warranted Price,",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 10,
Fig10.6,10,"Interest Rate and the Price Level, 1857-2011",1,Yes,Yes,27%,8,"data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, description, key_features",Chapter 10,
Fig10.7,10,"Relative Price of Finance, 1857-2011",1,Yes,Yes,27%,8,"data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, description, key_features",Chapter 10,
Fig10.8,10,"Real Interest Rate and its HP-Filtered Value, 1857-2011",1,Yes,Yes,27%,8,"data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, description, key_features",Chapter 10,
Fig10.9,10,"Dividend Yield versus Bond Yield, 1871-2011",1,Yes,Yes,27%,8,"data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","year_range, description, key_features",Chapter 10,
Fig11.2,11,"Trade Balances in Major Countries, 1960-2009 (Exports/Imports)",1,Yes,No,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 11,
Fig11.3,11,"Real Effective Exchange Rates (PPI-Basis), United States and Japan, 1960-2009",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 11,
Fig11.6,11,"Law of One Price at the Aggregate Level, United States and Japan, 1960-2009",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 11,
Fig11.7,11,"US Balance of Trade, Real Exchange Rate, and Relative GDP, 1960-2009",1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 11,
Fig12.5,12,"Phillips Curve, United States, 1955–1970",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 12,
Fig12.6,12,"US Inflation and Unemployment Rates, 1955–1970 and 1971–1986",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 12,
Fig12.7,12,"Phillips Curve, United States, 1971–1981",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 12,
Fig12.8,12,"Phillips Curve, United States, 1955–2010",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 12,
Fig14.10,14,"Nominal GDP Growth and Level of Wage Share, United States, 1948-2011",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 14,
Fig14.11,14,"Unemployment Measures, United States, 1948-2011",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 14,
Fig14.12,14,"Empirical Path of the Wage Share versus Unemployment Intensity, United States, 1",1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 14,
Fig14.13,14,"Rate of Change of Wage Share versus Unemployment Intensity, United States, 1949-",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 14,
Fig14.14,14,"HP(100)-Filtered Values, Rate of Change of the Wage Share versus Unemployment In",1,Yes,No,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 14,
Fig14.15,14,"Inflation and Productivity Growth, United States, 1948-2011",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 14,
Fig14.16,14,"HP(100)-Filtered Values, Rate of Change of Real Wages versus Unemployment Intens",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 14,
Fig14.17,14,"HP(100)-Filtered Values, Rate of Change of Nominal Wages versus Unemployment Int",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 14,
Fig15.1,15,"Consumer Price Level, United States, 1774-2011",1,Yes,Yes,55%,5,"observations, context_from_text, section, page, bea_table_ref","year_range, data_source, description, x_axis, y_axis, key_features",Chapter 15,
Fig15.12,15,"World Inflation versus Growth of Private and Public Credit, 1970-1988",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 15,
Fig15.13,15,"World Inflation versus Growth of Total Private and Public Credit, 1988-2011",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 15,
Fig15.2A,15,"Growth Rates of Real Output, US Major Industries, 1987-2010",1,Yes,No,55%,5,"observations, context_from_text, section, page, bea_table_ref","year_range, data_source, description, x_axis, y_axis, key_features",Chapter 15,
Fig15.2B,15,"Growth Rates of Real Output, US Major Industries, 1987-2010",1,Yes,No,55%,5,"observations, context_from_text, section, page, bea_table_ref","year_range, data_source, description, x_axis, y_axis, key_features",Chapter 15,
Fig15.3,15,"Growth of Nominal GDP and Relative New Purchasing Power, 1950-2010",1,Yes,Yes,55%,5,"observations, context_from_text, section, page, bea_table_ref","year_range, data_source, description, x_axis, y_axis, key_features",Chapter 15,
Fig15.7,15,"Classical and Conventional Phillip-Type Curves, 1948-2010",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 15,
Fig15.8,15,"Classical and Conventional Phillip-Type Curves, 1948-1981",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 15,
Fig15.9,15,"Classical and Conventional Phillip-Type Curves, 1982-2010",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 15,
Fig16.1,16,"US and UK Golden Waves, 1786-2010 (1930 = 100) Deviations from Cubic Time Trends",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 16,
Fig16.10,16,"Household Debt-Service Ratio, 1980–2012",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 16,
Fig16.3,16,"Hourly Real Wages and Productivity, US Business Sector, 1947-2012 (1982 = 100)",1,Yes,Yes,9%,10,"data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",year_range,Chapter 16,
Fig16.7,16,"US and OECD Short-Term Interest Rates, 1960–2011",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 16,
Fig16.8,16,"Net Average and Real Incremental Rates of Profit, US Corporations, 1947–2011",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 16,
Fig16.9,16,"Household Debt-to-Income Ratio, United States, 1975–2011",1,Yes,Yes,18%,9,"data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref","year_range, description",Chapter 16,
Fig2.6,2,"US Manufacturing Real Unit Production Labor Cost Index, 1889–2010",2,Yes,Yes,73%,3,"observations, context_from_text, bea_table_ref","year_range, data_source, description, x_axis, y_axis, key_features, section, page",Chapter 2,
Fig2.1,2,"US Industrial Production Index, 1860–2010",3,Yes,Yes,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.10,2,"US and UK Wholesale Prices in Ounces of Gold, 1790–2010",3,Yes,No,82%,2,"observations, bea_table_ref","year_range, data_source, description, x_axis, y_axis, context_from_text, key_features, section, page",Chapter 2,
Fig2.11,2,US Corporate Rate of Profit 1947–2011,3,Yes,Yes,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.12,2,Average Rates of Profit in US Manufacturing 1960–1989,3,Yes,No,82%,2,"context_from_text, bea_table_ref","year_range, data_source, description, x_axis, y_axis, observations, key_features, section, page",Chapter 2,
Fig2.13,2,Incremental Rates of Profit in US Manufacturing 1960–1989,3,Yes,No,82%,2,"context_from_text, bea_table_ref","year_range, data_source, description, x_axis, y_axis, observations, key_features, section, page",Chapter 2,
Fig2.14,2,"Normalized Total Prices of Production Profit versus Total Unit Labor Costs, US 1",3,No,No,64%,4,"year_range, observations, context_from_text, bea_table_ref","data_source, description, x_axis, y_axis, key_features, section, page",Chapter 2,
Fig2.15,2,"GDP per Capita of World Regions 1990, International Geary-Khamis Dollars",3,No,Yes,73%,3,"year_range, context_from_text, bea_table_ref","data_source, description, x_axis, y_axis, observations, key_features, section, page",Chapter 2,
Fig2.16,2,"GDP per Capita Richest Four and Poorest Four Countries, International Geary-Kham",3,No,Yes,73%,3,"year_range, observations, bea_table_ref","data_source, description, x_axis, y_axis, context_from_text, key_features, section, page",Chapter 2,
Fig2.17,2,"Ratio of the GDP per Capita of the Richest Four to the Poorest Four Countries, I",3,No,Yes,64%,4,"year_range, observations, context_from_text, bea_table_ref","data_source, description, x_axis, y_axis, key_features, section, page",Chapter 2,
Fig2.2,2,"US Real Investment Index, 1832–2010",3,Yes,Yes,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.3,2,"US Real GDP per Capita, 1889–2010",3,Yes,Yes,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.4A,2,"Business Cycles, 1831–1866",3,Yes,No,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.4B,2,"Business Cycles, 1867–1902",3,Yes,No,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.4C,2,"Business Cycles, 1903–1939",3,Yes,No,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.5,2,"US Manufacturing Productivity and Production Worker Real Compensation, 1889–2010",3,Yes,Yes,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.7,2,"US Unemployment Rate, 1890–2010",3,Yes,Yes,82%,2,"context_from_text, bea_table_ref","year_range, data_source, description, x_axis, y_axis, observations, key_features, section, page",Chapter 2,
Fig2.8,2,"US and UK Wholesale Price Indexes, 1780–2010",3,Yes,No,91%,1,bea_table_ref,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page",Chapter 2,
Fig2.9,2,"US and UK Wholesale Price Indexes, 1780–1940",3,Yes,No,82%,2,"context_from_text, bea_table_ref","year_range, data_source, description, x_axis, y_axis, observations, key_features, section, page",Chapter 2,
Fig3.1,3,Budget Constrained Choice,3,No,No,27%,8,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, bea_table_ref","description, section, page",Chapter 3,
Fig3.10,3,"Necessary Good (x1) Demand Curves, Four Different Micro Foundations",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.11,3,"Luxury Good (x2) Demand Curves, Four Different Micro Foundations",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.12,3,Equilibrium as an Achieved State (Stable Monotonic Adjustment),3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.13,3,Equilibration as Turbulent Gravitation (Stable Monotonic Adjustment with Noise),3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.14,3,Equilibrium as Turbulent Growth (Stable Monotonic Adjustment around a Growth Pat,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.15,3,Micro Independence of Emergent Macro Properties,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.2,3,A Rise in the Price of the Necessary Good,3,No,No,27%,8,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, bea_table_ref","description, section, page",Chapter 3,
Fig3.3,3,"Change in expenditure relative to change in income, Case I",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.4,3,"Expenditure Share of Necessaries, Case I",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.5,3,"Engel Curve of Necessaries, Case I",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.6,3,"Discretionary Propensity to Consume, Case II",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.7,3,"Engel Curve of Necessaries, Case II",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.8,3,"Empirical Expenditure Share on Food (Working Class Budgets, United Kingdom, 1904",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig3.9,3,"Empirical Engel Curve for Food (Working Class Budgets, United Kingdom, 1904)",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 3,
Fig4.1,4,"Productivity per Hours Worked at Different Intensities of Labor, for a Reference",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.10,4,"Output per Worker versus Machines per Worker, for 8-Hour Shifts Operated up to E",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.11,4,"Output versus Labor Hours, for 8-Hour Shifts Operated up to Engineering Capacity",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.12,4,"Output per Worker-Hour versus Machines per Worker-Hour, for 8-Hour Shifts Operat",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.13,4,"Output per Worker-Hour versus Machine-Hours per Worker-Hour, for 8-Hour Shifts O",3,No,No,18%,9,"year_range, data_source, description, y_axis, observations, context_from_text, section, page, bea_table_ref","x_axis, key_features",Chapter 4,
Fig4.14,4,Production Coefficients versus Output for 8-Hour Shifts Operated at Normal Inten,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.15,4,Typical Cost Curves in the Three Main Economic Traditions,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.16,4,"Average and Marginal Costs with Wage Paid per Worker, at Normal Intensity for 8-",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.17,4,"Average and Marginal Costs with Wage Paid per Hour, at Normal Intensity for 8-Ho",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.18,4,"Total Profit with Different Wage Arrangements, at Normal Intensity for 8-Hour Sh",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.19,4,Automotive Unit Labor Cost,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.2,4,"Output per Hours Worked at Different Intensities of Labor, for a Reference Shift",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.20,4,Automotive Marginal Labor Cost,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.21,4,Automotive Average Cost,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.22,4,Automotive Marginal Cost,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.23,4,Cost Curves Chosen by 94% of Business People Surveyed,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 4,
Fig4.3,4,"Labor Coefficient per Hours Worked at Different Intensities of Labor, for a Refe",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.4,4,"Machine Coefficient per Hours Worked at Different Intensities of Labor, for a Re",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.5,4,"Daily Output from Different Shift Combinations Totaling 20-Hours per Day, at the",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
