figure_id,chapter,current_title,priority,is_empirical,in_excel,completeness,gap_count,missing_fields,has_fields,book_location,extraction_notes
Fig4.6,4,Average and Marginal Products of Labor of the Maximum Technical Output Curve (10,3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.7,4,The Short-Run Neoclassical Production Function (Gross Output versus Labor Servic,3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.8,4,Output per Hour in the Neoclassical Production Function (Gross Output/Hour versu,3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig4.9,4,"Output versus Employment, for 8-Hour Shifts Operated up to Engineering Capacity ",3,No,No,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 4,
Fig5.1,5,US and UK Gold Prices,3,No,Yes,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 5,
Fig5.2,5,"UK Wholesale Price Indexes in Pound Sterling, US Dollars, and Ounces of Gold",3,No,Yes,9%,10,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref",key_features,Chapter 5,
Fig_ch05_ch05_plate_1,5,,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 5,
Fig_ch05_ch05_plate_2,5,,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 5,
Fig_ch05_ch05_plate_3,5,,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 5,
Fig_ch05_ch05_plate_4,5,,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 5,
Fig6.1,6,Corporate and Non-Corporate Profit Rates,3,No,Yes,36%,7,"year_range, data_source, observations, context_from_text, section, page, bea_table_ref","description, x_axis, y_axis, key_features",Chapter 6,
Fig6.2,6,Corporate Profitability Measures Corrected for Imputed Interest and Inventories ,3,No,Yes,27%,8,"year_range, data_source, x_axis, observations, context_from_text, section, page, bea_table_ref","description, y_axis, key_features",Chapter 6,
Fig6.3,6,Component Ratios Accounting for the Difference between Corrected and Conventiona,3,No,Yes,27%,8,"year_range, data_source, x_axis, observations, context_from_text, section, page, bea_table_ref","description, y_axis, key_features",Chapter 6,
Fig6.4,6,New Capacity Utilization Rate Compared to FRB Rate,3,No,Yes,27%,8,"year_range, data_source, x_axis, observations, context_from_text, section, page, bea_table_ref","description, y_axis, key_features",Chapter 6,
Fig6.5,6,"Normal-Capacity Corporate Profit Rates, Corrected versus Conventional Measures",3,No,Yes,27%,8,"year_range, data_source, x_axis, observations, context_from_text, section, page, bea_table_ref","description, y_axis, key_features",Chapter 6,
Fig7.1,7,Cost Structure in Industry A (Single or Several Co-Equal Conditions of Productio,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.10,7,Andrews's View on the Empirical Spectrum of Unit Costs with Respect to Plant Sca,3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 7,
Fig7.16,7,Deviations of US Industry Profit Rates from Average,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.18,7,Deviations of US Industry Incremental Profit Rates from Average,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.2,7,Cost Structure in Industry B (Agricultural/Mining Industry with Margin of Cultiv,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.21,7,"OECD Industries, Deviations of Incremental Rates of Profit from their Average (U",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.22,7,Profit Rates as a Function of Selling Price,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.23,7,Choice of Technique in Real Competition over Neutral Innovation Possibilities Sp,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.24,7,Choice of Technique under Real Competition over Directed Innovation Possibilitie,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.25,7,Two Possible Paths for the Rate of Profit,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.3,7,Cost Structure in Industry C (Regulating Conditions are Lowest Cost),3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.4,7,Effect on Profit Rates of Competition within an Industry,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.5,7,Effect on Profit Rates of Competition between Industries,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.6,7,"Equalization of Profit Rates over a ""Cycle of Lean and Fat Years""",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.7,7,Competition Can Give Rise to Persistent Differences in National Profit Rates,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.8,7,Cost Curves in Andrews and Brunner,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 7,
Fig7.9,7,Harrodian Long-Run Equilibrium versus Monopolistic Competition,3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 7,
Fig8.1,8,Price Paths of Concentrated and Unconcentrated Industries,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 8,
Fig8.2,8,"Percentage of Prices Increases or No Decreases during Contractions, in Relation ",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 8,
Fig8.3,8,"Rate of Profit on Equity versus CR8, Forty-Two Industries",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 8,
Fig8.4,8,"Rate of Profit on Equity versus CR8, Grouped Data",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 8,
Fig8.5,8,Rate of Profit on Assets (%),3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 8,
Fig8.6,8,"Rates of Return and Concentration (CR4), 1963 and 1969",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 8,
Fig_ch08_ch08_chunk_01_note,8,,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 8,
Fig9.1,9,"Normalized Total Market Prices versus Total Direct Prices, United States",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.10,9,"Standard Price-Labor Ratios, United States, 1998 (Fixed Capital Model)",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.11,9,Integrated Output-Capital Ratios and Standard Prices for the Four Previously Exc,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.12,9,"Actual Wage-Profit Curve, United States, 1998 (Fixed Capital Model)",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.13,9,"Distance Measures of Standard Price-Labor Time Deviations, United States, 1998 (",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.14,9,"Elasticities of Distance Measures, Standard Price of Production-Labor Time Devia",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.15,9,Prices of Production versus Direct Prices,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.16,9,Prices of Production versus Market Prices,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.17,9,"Numerical Example, Production Price–Direct Price and Market Price–Direct Price",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.18,9,Production Price–Direct Price Ratios (Seventy-One Industries),3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.2,9,Market Price–Direct Price Ratios (Seventy-One Industries),3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.20,9,Two Linear Wage–Profit Curves,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.21,9,Samuelson's Surrogate Production Function and Wage–Profit Frontier,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.22,9,Two Nonlinear Wage–Profit Curves,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.3,9,Three-Sector Numerical Example,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.4,9,"Integrated Output-Capital Ratios Relative to the Standard, United States, 1998 (",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.5,9,Integrated Output-Capital Ratios for Four Exceptional Industries (Circulating Ca,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.6,9,"Standard Price-Labor Ratios, United States, 1998 (Circulating Capital Model)",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.7,9,"Standard Prices for Four Exceptional Industries, United States, 1998 (Circulatin",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.8,9,"Actual Wage-Profit Curve, United States, 1998 (Circulating Capital Model)",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig9.9,9,"Integrated Output-Capital Ratios Relative to the Standard, United States, 1998 (",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 9,
Fig10.12,10,Current Equity Rate of Return versus Corporate Average Rate of Profit and Shille,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 10,
Fig10.2,10,Bank Loan Rate of Interest and Corporate Bond Yield,3,No,Yes,27%,8,"year_range, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","data_source, description, key_features",Chapter 10,
Fig10.3,10,US Short- and Long-Term Interest Rates,3,No,Yes,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 10,
Fig10.4,10,US Short- and Long-Term Interest Rates Relative to the Discount Rate,3,No,Yes,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 10,
Fig10.5,10,Business Profit Rate and Bank Prime Rate,3,No,Yes,27%,8,"year_range, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","data_source, description, key_features",Chapter 10,
Fig11.1,11,The Ricardian Duality,3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 11,
Fig11.4,11,US Real Effective Exchange Rate and Adjusted Real Effective Unit Labor Costs,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 11,
Fig11.5,11,Japan Real Effective Exchange Rate and Adjusted Real Effective Unit Labor Costs,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 11,
Fig12.1,12,"Output, Costs, and Normal Capacity",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 12,
Fig12.2,12,The Neoclassical Full Employment Outcome,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 12,
Fig12.3,12,The Neoclassical Savings–Investment Adjustment,3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 12,
Fig12.4,12,Hicks's IS–LM Summary of Keynes's Core Arguments,3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 12,
Fig12.9,12,Short- and Long-Run Expectations-Augmented Phillips,3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 12,
Fig13.10,13,Effects of Persistent Excess Demand on the Level and Trend of Output,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, bea_table_ref","description, page",Chapter 13,
Fig13.2,13,Keynesian Multiplier Process with a Permanent Rise in the Level of Investment,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 13,
Fig13.3,13,Generalized Multiplier Process with a Temporary Rise in Investment,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, section, page, bea_table_ref","description, key_features",Chapter 13,
Fig13.4,13,Generalized Multiplier Process with a Permanent Rise in Investment,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, bea_table_ref","description, page",Chapter 13,
Fig13.5,13,"Normal Rates of Profit, Interest, and Profit of Enterprise",3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, bea_table_ref","description, page",Chapter 13,
Fig13.6,13,Classical Accumulation,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, bea_table_ref","description, page",Chapter 13,
Fig13.7,13,Actual and Equilibrium Paths of Output,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, bea_table_ref","description, page",Chapter 13,
Fig13.8,13,Effect of a Permanent Drop in the Rate of Profit,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, bea_table_ref","description, page",Chapter 13,
Fig13.9,13,Effect of a Temporary Rise in Profitability or Purchasing Power,3,No,No,18%,9,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, bea_table_ref","description, page",Chapter 13,
Fig14.1,14,Average Real Wage per Worker,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig14.2,14,The Classical Curve,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig14.3,14,"Effects of a Temporary Demand Boost on Wage Share, Unemployment, and Normal Capa",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig14.4,14,Effects of a Temporary Demand Boost on Growth Rates,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig14.5,14,"Effects of a Temporary Demand Boost on Levels of Output, Employment, Real Wages,",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig14.6,14,"Effects of a Sustained Demand Boost on Wage Share, Unemployment, and Normal Capa",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig14.7,14,Effects of a Sustained Demand Boost on Growth Rates,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig14.8,14,"Effects of a Sustained Demand Boost on Levels of Output, Employment, Real Wages,",3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig14.9,14,Theoretical Path of Wage Share versus Unemployment,3,No,No,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 14,
Fig15.10,15,Normalized Inflation and Growth Utilization Rates,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 15,
Fig15.11,15,HP(100) Trend of the Net Incremental Rate of Profit,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 15,
Fig15.14,15,Argentina Total Credit Growth and Nominal GDP Growth,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 15,
Fig15.15,15,Total Credit Growth and Inflation,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 15,
Fig15.16,15,Inflation and Currency Depreciation,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 15,
Fig15.2,15,,3,No,Yes,36%,7,"year_range, description, observations, context_from_text, section, page, bea_table_ref","data_source, x_axis, y_axis, key_features",Chapter 15,
Fig15.4,15,Growth of Nominal GDP versus Relative New Purchasing Power,3,No,Yes,45%,6,"year_range, observations, context_from_text, section, page, bea_table_ref","data_source, description, x_axis, y_axis, key_features",Chapter 15,
Fig15.5,15,Real Output Growth versus the Real Net Rate of Return on New Capital,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 15,
Fig15.6,15,Change in Real Output versus Change in Real Gross Profits,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 15,
Fig16.2,16,Actual and Normal Profit Rates and Profit Shares,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 16,
Fig16.4,16,Impact on Profitability of the Suppression of Real Wage Growth,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 16,
Fig16.5,16,Rate of Return on Average Capital versus New Investment,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 16,
Fig16.6,16,The Extraordinary Postwar Path of the Interest Rate,3,No,Yes,0%,11,"year_range, data_source, description, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",,Chapter 16,
Fig17.1,17,The Global Crisis of 2007 in Light of Past Long Waves,3,No,Yes,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 17,
Fig17.2,17,"Personal Income Distribution below $200,000, Cumulative Probability from Above",3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 17,
Fig17.3,17,"Personal Income Distribution above $200,000, Cumulative Probability from Above",3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 17,
Fig13.1,18,,3,No,No,9%,10,"year_range, data_source, x_axis, y_axis, observations, context_from_text, key_features, section, page, bea_table_ref",description,Chapter 18,
Fig6.6,18,,3,No,Yes,45%,6,"year_range, observations, context_from_text, section, page, bea_table_ref","data_source, description, x_axis, y_axis, key_features",Chapter 18,
Fig6.7,18,,3,No,Yes,55%,5,"year_range, observations, context_from_text, section, page","data_source, description, x_axis, y_axis, key_features, bea_table_ref",Chapter 18,
